run,pca__n_components,mean_balanced_accuracy,std_balanced_accuracy
0,30,0.859,0.004
0,40,0.867,0.005
0,50,0.868,0.006
0,60,0.872,0.005
0,70,0.875,0.004
0,80,0.873,0.007
0,90,0.873,0.004
0,100,0.872,0.006
0,110,0.872,0.008
0,120,0.874,0.009
0,130,0.873,0.007
0,140,0.875,0.008
0,150,0.874,0.009
0,160,0.875,0.01
0,170,0.874,0.011
0,180,0.873,0.012
0,190,0.875,0.012
0,200,0.876,0.01
0,210,0.876,0.009
0,220,0.876,0.009
0,230,0.875,0.01
0,240,0.875,0.01
0,250,0.876,0.011
0,260,0.876,0.009
0,270,0.876,0.01
1,30,0.859,0.004
1,40,0.864,0.006
1,50,0.869,0.006
1,60,0.873,0.003
1,70,0.872,0.005
1,80,0.874,0.005
1,90,0.875,0.004
1,100,0.872,0.007
1,110,0.871,0.006
1,120,0.873,0.008
1,130,0.874,0.009
1,140,0.872,0.01
1,150,0.873,0.01
1,160,0.873,0.011
1,170,0.875,0.009
1,180,0.874,0.012
1,190,0.875,0.013
1,200,0.876,0.01
1,210,0.877,0.01
1,220,0.877,0.01
1,230,0.876,0.011
1,240,0.876,0.011
1,250,0.876,0.008
1,260,0.876,0.009
1,270,0.876,0.01
2,30,0.858,0.005
2,40,0.866,0.005
2,50,0.87,0.004
2,60,0.872,0.005
2,70,0.872,0.004
2,80,0.872,0.008
2,90,0.873,0.005
2,100,0.874,0.008
2,110,0.871,0.008
2,120,0.875,0.008
2,130,0.873,0.009
2,140,0.874,0.011
2,150,0.873,0.011
2,160,0.875,0.009
2,170,0.874,0.011
2,180,0.872,0.013
2,190,0.875,0.01
2,200,0.876,0.012
2,210,0.876,0.01
2,220,0.877,0.01
2,230,0.876,0.012
2,240,0.875,0.011
2,250,0.877,0.01
2,260,0.876,0.01
2,270,0.877,0.009
3,30,0.859,0.003
3,40,0.864,0.005
3,50,0.87,0.006
3,60,0.871,0.005
3,70,0.876,0.003
3,80,0.874,0.006
3,90,0.873,0.007
3,100,0.873,0.004
3,110,0.873,0.007
3,120,0.874,0.008
3,130,0.872,0.01
3,140,0.875,0.009
3,150,0.873,0.009
3,160,0.873,0.01
3,170,0.873,0.01
3,180,0.872,0.012
3,190,0.875,0.012
3,200,0.877,0.011
3,210,0.878,0.01
3,220,0.876,0.01
3,230,0.876,0.01
3,240,0.876,0.008
3,250,0.878,0.01
3,260,0.877,0.009
3,270,0.877,0.009
4,30,0.859,0.004
4,40,0.865,0.006
4,50,0.87,0.005
4,60,0.872,0.004
4,70,0.872,0.006
4,80,0.874,0.006
4,90,0.873,0.007
4,100,0.873,0.006
4,110,0.871,0.007
4,120,0.873,0.007
4,130,0.873,0.009
