run,colinearity_threshold,model_score,train_f1_macro,test_balanced_accuracy,test_f1_macro,test_f1_weighted,precision_weighted,recall_weighted
1,0.6,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.6,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.6,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
1,0.65,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.65,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.65,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
1,0.7,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.7,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.7,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
1,0.75,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.75,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.75,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
1,0.8,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.8,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.8,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
1,0.85,0.917,0.9566,0.8926,0.8926,0.9181,0.9211,0.917
2,0.85,0.9113,0.9593,0.8835,0.8853,0.9122,0.9152,0.9113
3,0.85,0.9261,0.9558,0.9058,0.9014,0.9275,0.9306,0.9261
