run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
1,0.014,30,40,0.75,0.9971,0.9075,0.9048,0.9298,0.9327,0.9295
2,0.014,30,40,0.75,0.9981,0.8959,0.8915,0.9232,0.9301,0.9238
3,0.014,30,40,0.75,0.997,0.9119,0.9113,0.9359,0.9374,0.9352
1,0.014,30,40,0.8,0.9969,0.9068,0.9048,0.9289,0.9312,0.9283
2,0.014,30,40,0.8,0.9979,0.8944,0.8902,0.922,0.9286,0.9226
3,0.014,30,40,0.8,0.997,0.901,0.9004,0.9295,0.9314,0.9283
1,0.014,30,40,0.85,0.9969,0.9066,0.9048,0.9289,0.9309,0.9283
2,0.014,30,40,0.85,0.9979,0.8937,0.8907,0.922,0.9292,0.9226
3,0.014,30,40,0.85,0.997,0.9058,0.906,0.9327,0.9347,0.9317
1,0.014,30,50,0.75,0.9971,0.9038,0.9016,0.9273,0.9295,0.9272
2,0.014,30,50,0.75,0.9981,0.903,0.8996,0.9278,0.9339,0.9283
3,0.014,30,50,0.75,0.9975,0.9146,0.9142,0.9371,0.9389,0.9363
1,0.014,30,50,0.8,0.9969,0.9043,0.9028,0.9276,0.9296,0.9272
2,0.014,30,50,0.8,0.9979,0.898,0.895,0.9243,0.931,0.9249
3,0.014,30,50,0.8,0.997,0.9044,0.9041,0.9316,0.9335,0.9306
1,0.014,30,50,0.85,0.9969,0.9018,0.9005,0.9265,0.9283,0.9261
2,0.014,30,50,0.85,0.9979,0.9007,0.8977,0.9267,0.9329,0.9272
3,0.014,30,50,0.85,0.997,0.9062,0.906,0.9327,0.9345,0.9317
1,0.014,30,60,0.75,0.9974,0.9054,0.9026,0.9284,0.9304,0.9283
2,0.014,30,60,0.75,0.9981,0.8939,0.8878,0.9211,0.927,0.9215
3,0.014,30,60,0.75,0.9975,0.9124,0.9112,0.9357,0.9375,0.9352
1,0.014,30,60,0.8,0.997,0.9068,0.9048,0.9299,0.9317,0.9295
2,0.014,30,60,0.8,0.9979,0.8936,0.8886,0.9208,0.9269,0.9215
3,0.014,30,60,0.8,0.9965,0.9092,0.9082,0.9352,0.9374,0.934
1,0.014,30,60,0.85,0.9971,0.9071,0.9059,0.93,0.9318,0.9295
2,0.014,30,60,0.85,0.9979,0.8945,0.89,0.922,0.9279,0.9226
3,0.014,30,60,0.85,0.9965,0.9066,0.9055,0.9339,0.9358,0.9329
1,0.014,30,70,0.75,0.997,0.9076,0.9059,0.929,0.9307,0.9283
2,0.014,30,70,0.75,0.9981,0.898,0.8924,0.9246,0.9299,0.9249
3,0.014,30,70,0.75,0.997,0.9117,0.9095,0.9347,0.9365,0.934
1,0.014,30,70,0.8,0.997,0.9125,0.9101,0.9331,0.935,0.9329
2,0.014,30,70,0.8,0.9979,0.8975,0.8915,0.9235,0.9292,0.9238
3,0.014,30,70,0.8,0.997,0.9095,0.909,0.934,0.9359,0.9329
1,0.014,30,70,0.85,0.997,0.9104,0.9091,0.9312,0.9328,0.9306
2,0.014,30,70,0.85,0.9979,0.8964,0.8896,0.922,0.9276,0.9226
3,0.014,30,70,0.85,0.9965,0.9087,0.908,0.934,0.9362,0.9329
1,0.014,30,80,0.75,0.9974,0.9133,0.9121,0.9325,0.934,0.9317
2,0.014,30,80,0.75,0.9981,0.8958,0.8898,0.9216,0.9284,0.9226
3,0.014,30,80,0.75,0.9975,0.9129,0.9107,0.9358,0.9374,0.9352
1,0.014,30,80,0.8,0.997,0.9143,0.913,0.9337,0.9354,0.9329
2,0.014,30,80,0.8,0.9979,0.8921,0.8869,0.9201,0.9258,0.9204
3,0.014,30,80,0.8,0.9975,0.9126,0.9112,0.9364,0.939,0.9352
1,0.014,30,80,0.85,0.997,0.9159,0.9158,0.9346,0.936,0.934
2,0.014,30,80,0.85,0.9979,0.8967,0.8911,0.9235,0.9298,0.9238
3,0.014,30,80,0.85,0.997,0.9121,0.9113,0.9364,0.9385,0.9352
1,0.014,30,90,0.75,0.997,0.9111,0.9103,0.9312,0.9325,0.9306
2,0.014,30,90,0.75,0.9981,0.8938,0.8875,0.9193,0.9262,0.9204
3,0.014,30,90,0.75,0.997,0.9142,0.9114,0.9358,0.9374,0.9352
1,0.014,30,90,0.8,0.997,0.9103,0.908,0.9311,0.9326,0.9306
2,0.014,30,90,0.8,0.9983,0.8943,0.8883,0.9208,0.9269,0.9215
3,0.014,30,90,0.8,0.997,0.9134,0.9118,0.9361,0.9381,0.9352
1,0.014,30,90,0.85,0.997,0.9093,0.9078,0.93,0.9313,0.9295
