Selection Threshold,VIFThreshold,PCA_n_Components,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
0.014,15,40,95.33,87.72,88.26,90.63,91.09,90.52
0.014,15,50,96.53,88.23,88.56,90.96,91.25,90.9
0.014,15,60,97.08,88.7,88.94,91.31,91.65,91.24
0.014,15,70,97.64,89.23,89.43,91.8,92.08,91.73
0.014,15,80,97.91,88.82,89.05,91.49,91.81,91.43
0.014,15,90,98.23,88.99,89.2,91.69,91.98,91.62
0.014,15,100,98.53,88.92,89.14,91.62,91.91,91.54
0.014,20,40,95.14,88.0,88.42,90.81,91.15,90.71
0.014,20,50,96.59,87.54,87.75,90.48,90.76,90.41
0.014,20,60,97.29,88.37,88.51,91.16,91.43,91.09
0.014,20,70,97.71,88.43,88.6,91.27,91.53,91.2
0.014,20,80,98.13,88.91,89.02,91.67,91.9,91.62
0.014,20,90,98.38,89.06,89.25,91.71,91.97,91.66
0.014,20,100,98.66,89.3,89.37,91.93,92.16,91.88
0.014,25,40,95.08,87.56,87.92,90.45,90.82,90.33
0.014,25,50,96.14,87.81,88.01,90.71,91.01,90.6
0.014,25,60,96.9,88.38,88.58,91.2,91.46,91.13
0.014,25,70,97.55,88.77,88.98,91.51,91.75,91.43
0.014,25,80,97.87,88.68,88.87,91.43,91.72,91.35
0.014,25,90,98.24,88.77,88.99,91.62,91.92,91.54
0.014,25,100,98.47,88.95,89.08,91.72,92.03,91.66
0.014,30,40,95.36,87.6,87.87,90.58,90.9,90.44
0.014,30,50,96.39,87.9,88.06,90.8,91.09,90.71
0.014,30,60,97.0,88.18,88.3,91.02,91.32,90.94
0.014,30,70,97.5,88.54,88.65,91.38,91.69,91.32
0.014,30,80,97.97,88.75,89.01,91.43,91.79,91.35
0.014,30,90,98.19,88.58,88.79,91.36,91.71,91.28
0.014,30,100,98.43,89.05,89.16,91.76,92.08,91.7
0.016,15,40,95.11,87.29,87.67,90.18,90.53,90.1
0.016,15,50,96.21,87.41,87.72,90.34,90.64,90.25
0.016,15,60,97.11,87.89,88.09,90.8,91.08,90.71
0.016,15,70,97.72,87.82,88.01,90.77,91.1,90.67
0.016,15,80,98.4,88.02,88.18,90.91,91.18,90.82
0.016,15,90,98.54,87.93,88.05,90.81,91.12,90.75
0.016,15,100,98.69,88.48,88.59,91.21,91.51,91.13
0.016,20,40,94.74,86.71,87.17,89.88,90.26,89.8
0.016,20,50,95.9,86.26,86.67,89.61,89.94,89.53
0.016,20,60,96.66,86.62,86.89,89.84,90.16,89.72
0.016,20,70,97.37,87.97,88.14,90.88,91.23,90.78
0.016,20,80,97.87,88.0,88.26,90.93,91.28,90.82
0.016,20,90,98.38,88.29,88.5,91.12,91.43,91.01
0.016,20,100,98.63,88.29,88.55,91.15,91.49,91.05
0.016,25,40,94.84,86.87,87.42,89.97,90.38,89.87
0.016,25,50,96.06,86.95,87.38,90.15,90.5,90.06
0.016,25,60,96.78,87.42,87.72,90.48,90.8,90.41
0.016,25,70,97.23,87.85,88.1,90.79,91.13,90.71
0.016,25,80,97.71,88.18,88.4,91.1,91.46,91.01
0.016,25,90,98.2,88.08,88.21,91.02,91.4,90.9
0.016,25,100,98.49,88.59,88.64,91.4,91.74,91.32
0.016,30,40,94.92,86.66,87.13,89.9,90.31,89.8
0.016,30,50,96.18,87.27,87.64,90.33,90.67,90.25
0.016,30,60,97.1,87.41,87.73,90.46,90.84,90.37
0.016,30,70,97.47,87.64,87.88,90.65,91.02,90.56
0.016,30,80,97.9,88.15,88.31,91.04,91.33,90.97
0.016,30,90,98.37,88.32,88.52,91.12,91.42,91.01
0.016,30,100,98.62,88.63,88.77,91.35,91.65,91.24
0.018,15,40,94.88,85.22,85.8,88.31,88.68,88.13
0.018,15,50,96.16,85.47,85.78,88.65,88.95,88.51
0.018,15,60,96.83,85.97,86.29,88.98,89.24,88.85
0.018,15,70,97.44,85.94,86.09,89.06,89.31,88.93
0.018,15,80,97.88,86.13,86.25,89.21,89.51,89.04
0.018,15,90,98.03,86.7,86.85,89.64,89.93,89.5
0.018,20,40,94.78,85.49,86.08,88.58,89.0,88.4
0.018,20,50,95.93,85.52,85.85,88.63,88.97,88.47
0.018,20,60,96.69,86.07,86.22,89.19,89.49,89.04
0.018,20,70,97.31,86.25,86.38,89.26,89.54,89.12
0.018,20,80,97.74,86.53,86.68,89.52,89.87,89.34
0.018,20,90,98.21,86.74,86.94,89.72,90.03,89.57
0.018,20,100,98.28,87.02,87.17,89.94,90.25,89.8
0.018,25,40,94.67,84.91,85.51,88.09,88.48,87.9
0.018,25,50,95.91,85.8,86.11,88.87,89.21,88.7
0.018,25,60,96.63,86.06,86.34,89.07,89.38,88.93
0.018,25,70,97.18,86.26,86.51,89.17,89.48,89.0
0.018,25,80,97.78,86.66,86.93,89.57,89.92,89.42
0.018,25,90,98.14,86.9,87.08,89.8,90.12,89.65
0.018,25,100,98.32,86.97,87.19,89.84,90.14,89.69
0.018,30,40,94.67,84.91,85.51,88.09,88.48,87.9
0.018,30,50,95.91,85.8,86.11,88.87,89.21,88.7
0.018,30,60,96.63,86.06,86.34,89.07,89.38,88.93
0.018,30,70,97.18,86.26,86.51,89.17,89.48,89.0
0.018,30,80,97.78,86.66,86.93,89.57,89.92,89.42
0.018,30,90,98.14,86.9,87.08,89.8,90.12,89.65
0.018,30,100,98.32,86.97,87.19,89.84,90.14,89.69
