,Selection Threshold,VIFThreshold,f1_macro,f1_weighted,balanced_accuracy,weighted_avg_precision,weighted_avg_recall
0,0.014,25,0.8967495501394229,0.9317148324499861,0.8991690288192195,0.9353,0.9306
1,0.014,20,0.8959256050116623,0.9316902276447133,0.898396417877117,0.9351,0.9306
2,0.014,15,0.901754922424643,0.9337268060894638,0.9051771449968271,0.9371,0.9329
3,0.014,10,0.8956709892913328,0.924735658064641,0.8988750986879729,0.9275,0.9238
4,0.015,25,0.8898365689562449,0.9254506345630891,0.8958607652500489,0.9306,0.9238
5,0.015,20,0.8825200632474686,0.9218779972877399,0.886587147802111,0.9261,0.9204
6,0.015,15,0.8924185713218551,0.9260287015948948,0.8978150385996032,0.9297,0.9249
7,0.015,10,0.8831376253138173,0.9169111089205005,0.8864060224811882,0.9209,0.9158
8,0.016,25,0.8803110735068334,0.9185204082789371,0.8830736752856571,0.9215,0.917
9,0.016,20,0.8828112951765389,0.9186046831295617,0.886895739990922,0.9222,0.917
10,0.016,15,0.880718936192915,0.9173089131529664,0.8844247045276968,0.9206,0.9158
11,0.016,10,0.8702169446176888,0.9106886387507108,0.8731875493249189,0.915,0.909
12,0.02,20,0.8401106535325462,0.8825193361009792,0.8505764393220425,0.8893,0.8805
13,0.02,25,0.8401106535325462,0.8825193361009792,0.8505764393220425,0.8893,0.8805
14,0.02,15,0.837432789710117,0.8787606420057194,0.8469481330692747,0.8841,0.8771
15,0.02,10,0.8174450380866702,0.8691042546316107,0.8297632109771216,0.8758,0.8669
