,Selection Threshold,VIFThreshold,Accuracy,NumFeatures
0,0.014,25,0.9306029579067122,368
1,0.014,20,0.9306029579067122,329
2,0.014,15,0.9328782707622298,269
3,0.014,10,0.9237770193401593,183
4,0.015,25,0.9237770193401593,290
5,0.015,20,0.9203640500568828,250
6,0.015,15,0.9249146757679181,209
7,0.015,10,0.9158134243458476,144
8,0.016,25,0.9169510807736063,205
9,0.016,20,0.9169510807736063,191
10,0.016,15,0.9158134243458476,158
11,0.016,10,0.9089874857792947,113
12,0.02,20,0.8805460750853242,49
13,0.02,25,0.8805460750853242,49
14,0.02,15,0.8771331058020477,48
15,0.02,10,0.8668941979522184,39
