experiment_number,Selection Threshold,NumFeatures,VIFThreshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
1,0.014,408,30,0.9950848490107405,0.8929448112844729,0.8951388363362748,0.9216535471756702,0.9243384474016356,0.9203640500568828
1,0.014,371,25,0.9949848153926293,0.8955908829524263,0.8965029159139172,0.9248294050114597,0.92714034635079,0.9237770193401593
1,0.014,329,20,0.9948432023747322,0.8883890737112706,0.8889395363110638,0.9194034997042365,0.9220496637083128,0.9180887372013652
1,0.014,269,15,0.9938248318528278,0.8853274112172914,0.8877236624840678,0.917933898502191,0.920408203827323,0.9169510807736063
2,0.014,408,30,0.9935227980354073,0.9134912443928618,0.9131649936132347,0.9337087852837743,0.9355085696225979,0.9328782707622298
2,0.014,371,25,0.9942511848299836,0.9134019033526861,0.9131649936132347,0.933638161126181,0.9354749168330545,0.9328782707622298
2,0.014,329,20,0.994283989377742,0.9116178229404386,0.9120966175448586,0.9323641855449335,0.9338958624060141,0.931740614334471
2,0.014,269,15,0.9925611776671447,0.9069802189366162,0.9052433161582519,0.9276092079166628,0.9293137873134015,0.9271899886234357
3,0.014,408,30,0.9946933168106384,0.8903845995540622,0.8896494156672952,0.9181823663593105,0.9234460288708332,0.9180887372013652
3,0.014,371,25,0.9953480772159663,0.8883231177309926,0.888504229783737,0.9170047314189336,0.9225876965695755,0.9169510807736063
3,0.014,329,20,0.9961782911725268,0.8900537597049272,0.8897821651629693,0.9166882150563402,0.9226720178308077,0.9169510807736063
3,0.014,269,15,0.9948098528239294,0.8877986108271865,0.8902255878979405,0.9149779193462882,0.9202807726991808,0.9146757679180887
1,0.016,215,30,0.9882933946863411,0.8712131300013929,0.8718727480904718,0.9039617010668912,0.907379231747768,0.9021615472127418
1,0.016,205,25,0.98716102486692,0.8742269025841016,0.8747450872027751,0.9083698513145197,0.9118441477712096,0.906712172923777
1,0.016,191,20,0.9875613776066553,0.875288949931414,0.8762596705973765,0.9083451284579018,0.9120847537142159,0.906712172923777
1,0.016,159,15,0.9861616002580991,0.8767096082761605,0.8776682919401225,0.9075946586039497,0.9096954785687675,0.906712172923777
2,0.016,215,30,0.9896881127267008,0.9067907094025021,0.9084191601240856,0.9280818005878215,0.9296176620524651,0.9271899886234357
2,0.016,205,25,0.9890917893069482,0.9015258077955951,0.9016362143876516,0.9245738262491489,0.9260150971607848,0.9237770193401593
2,0.016,191,20,0.9884028035533979,0.8935698707527925,0.8944268313761297,0.9187810407947143,0.9204006080639093,0.9180887372013652
2,0.016,159,15,0.9875577520208605,0.8930117695183504,0.8942131561624543,0.9186447015150532,0.9217860227271716,0.9169510807736063
3,0.016,215,30,0.9882738020148055,0.8829002587994819,0.8830682028280591,0.9095625185125287,0.9142797204167772,0.9089874857792947
3,0.016,205,25,0.9873821686477757,0.8803676031276262,0.879957362368087,0.9085148182481689,0.9137102919655302,0.9078498293515358
3,0.016,191,20,0.9872288823173131,0.8767242137575422,0.8783317510041034,0.9053304077008478,0.9095774729574602,0.9044368600682594
3,0.016,159,15,0.9857821645310199,0.8814061655463399,0.8815239842890658,0.9086151555826824,0.911569661816154,0.9078498293515358
1,0.018,105,25,0.971954470133087,0.8569663279252814,0.859192941952501,0.8921056226559803,0.8954793435249817,0.8896473265073948
1,0.018,105,30,0.971954470133087,0.8569663279252814,0.859192941952501,0.8921056226559803,0.8954793435249817,0.8896473265073948
1,0.018,101,20,0.9702356852238154,0.8578070661934579,0.860126900432092,0.8943806359962664,0.8977797894433516,0.8919226393629124
1,0.018,93,15,0.9699399063567193,0.8489888410470018,0.8497400314892113,0.8884258367129587,0.8927753528278654,0.8850967007963595
2,0.018,105,25,0.9699808455309993,0.8895291904167244,0.8946311678704415,0.9093508550064322,0.9129663620855133,0.9078498293515358
2,0.018,105,30,0.9699808455309993,0.8895291904167244,0.8946311678704415,0.9093508550064322,0.9129663620855133,0.9078498293515358
2,0.018,101,20,0.9725832974805506,0.8849302942439756,0.8882764857136204,0.9057811096476017,0.908969335628195,0.9044368600682594
2,0.018,93,15,0.9712879105717102,0.8808965611942592,0.8838484123015896,0.9045630666495776,0.9085359094852328,0.9032992036405005
3,0.018,105,25,0.9723985239351008,0.8621232714594331,0.8633355221572259,0.8896965250690337,0.8923472541443649,0.888509670079636
3,0.018,105,30,0.9723985239351008,0.8621232714594331,0.8633355221572259,0.8896965250690337,0.8923472541443649,0.888509670079636
3,0.018,101,20,0.9704441898897952,0.8681165444037942,0.8696513507114266,0.8952172754619974,0.8985380739642381,0.89419795221843
3,0.018,93,15,0.9709589353187031,0.862487211880637,0.8648793284627454,0.8907851499193842,0.8932310893345936,0.8896473265073948
